teamId,teamName,teamSName,countryName,category
2.0,India,IND,India,"Test Teams"
3.0,Pakistan,PAK,Pakistan,"Test Teams"
4.0,Australia,AUS,Australia,"Test Teams"
5.0,"Sri Lanka",SL,"Sri Lanka","Test Teams"
6.0,Bangladesh,BAN,Bangladesh,"Test Teams"
7.0,"United Arab Emirates",UAE,"United Arab Emirates","Associate Teams"
8.0,"Hong Kong",HK,"Hong Kong","Associate Teams"
9.0,England,ENG,England,"Test Teams"
10.0,"West Indies",WI,"West Indies","Test Teams"
11.0,"South Africa",RSA,"South Africa","Test Teams"
12.0,Zimbabwe,ZIM,Zimbabwe,"Test Teams"
13.0,"New Zealand",NZ,"New Zealand","Test Teams"
14.0,Kenya,KEN,Kenya,"Associate Teams"
15.0,"United States of America",USA,"United States of America","Associate Teams"
23.0,Scotland,SCO,Scotland,"Associate Teams"
24.0,Netherlands,NED,Netherlands,"Associate Teams"
25.0,Bermuda,BER,Bermuda,"Associate Teams"
26.0,Canada,CAN,Canada,"Associate Teams"
27.0,Ireland,IRE,Ireland,"Test Teams"
44.0,Uganda,UGA,Uganda,"Associate Teams"
71.0,Malaysia,MLY,Malaysia,"Associate Teams"
72.0,Nepal,NEP,Nepal,"Associate Teams"
77.0,Germany,GER,Germany,"Associate Teams"
96.0,Afghanistan,AFG,Afghanistan,"Test Teams"
161.0,Namibia,NAM,Namibia,"Associate Teams"
185.0,Denmark,DEN,Denmark,"Associate Teams"
190.0,Singapore,SIN,Singapore,"Associate Teams"
287.0,"Papua New Guinea",PNG,"Papua New Guinea","Associate Teams"
298.0,Kuwait,KUW,Kuwait,"Associate Teams"
300.0,Vanuatu,VAN,Vanuatu,"Associate Teams"
303.0,Jersey,JER,Jersey,"Associate Teams"
304.0,Oman,OMAN,Oman,"Associate Teams"
343.0,Fiji,FIJI,Fiji,"Associate Teams"
527.0,Italy,ITA,Italy,"Associate Teams"
529.0,Botswana,BW,Botswana,"Associate Teams"
541.0,Belgium,BEL,Belgium,"Associate Teams"
675.0,Iran,IRN,Iran,"Associate Teams"
