matchId,seriesName,matchDesc,startDate,endDate,team1Name,team2Name,winningTeam,victoryMargin,victoryType,venueGround
114242,"The Hundred Womens Competition 2025","30th Match","2025-08-26 14:00:00","2025-08-26 17:30:00","Manchester Originals Women","Northern Superchargers Women","Northern Superchargers Women",8,wickets,Headingley
114234,"The Hundred Womens Competition 2025","29th Match","2025-08-25 14:00:00","2025-08-25 17:30:00","Oval Invincibles Women","London Spirit Women","London Spirit Women",8,wickets,"Kennington Oval"
132742,"Nordic Women T20I Cup 2025","9th Match","2025-08-31 12:30:00","2025-08-31 16:00:00","Sweden Women","Finland Women","Sweden Women",73,runs,"Albertslund Cricket Club"
132747,"Nordic Women T20I Cup 2025","10th Match","2025-08-31 12:30:00","2025-08-31 16:00:00","Germany Women","Denmark Women","Germany Women",64,runs,"Ishoj Cricket Club"
132736,"Nordic Women T20I Cup 2025","8th Match","2025-08-31 08:00:00","2025-08-31 11:30:00","Germany Women","Sweden Women","Germany Women",74,runs,"Albertslund Cricket Club"
132731,"Nordic Women T20I Cup 2025","7th Match","2025-08-31 08:00:00","2025-08-31 11:30:00","Norway Women","Denmark Women","Denmark Women",7,wickets,"Ishoj Cricket Club"
132698,"Nordic Women T20I Cup 2025","2nd T20I","2025-08-29 15:00:00","2025-08-29 18:30:00","Sweden Women","Norway Women","Sweden Women",94,runs,"Albertslund Cricket Club"
132720,"Nordic Women T20I Cup 2025","6th Match","2025-08-30 14:00:00","2025-08-30 17:30:00","Germany Women","Norway Women","Germany Women",78,runs,"Albertslund Cricket Club"
132714,"Nordic Women T20I Cup 2025","5th Match","2025-08-30 14:00:00","2025-08-30 17:30:00","Finland Women","Denmark Women","Denmark Women",7,wickets,"Ishoj Cricket Club"
132703,"Nordic Women T20I Cup 2025","3rd Match","2025-08-30 08:30:00","2025-08-30 12:00:00","Finland Women","Norway Women","Norway Women",1,wickets,"Ishoj Cricket Club"
132709,"Nordic Women T20I Cup 2025","4th Match","2025-08-30 08:30:00","2025-08-30 12:00:00","Sweden Women","Denmark Women","Sweden Women",7,runs,"Albertslund Cricket Club"
132687,"Nordic Women T20I Cup 2025","1st Match","2025-08-29 15:00:00","2025-08-29 18:30:00","Finland Women","Germany Women","Germany Women",8,wickets,"Ishoj Cricket Club"
131532,"ICC Womens T20 World Cup Africa Region Division One Qualifier 2025","3rd Match, Group A","2025-08-31 11:50:00","2025-08-31 15:20:00","Zimbabwe Women","Namibia Women","Zimbabwe Women",32,runs,"Namibia Cricket Ground"
131543,"ICC Womens T20 World Cup Africa Region Division One Qualifier 2025","4th Match, Group B","2025-08-31 11:50:00","2025-08-31 15:20:00","Tanzania Women","Uganda Women","Tanzania Women",1,runs,"High Performance Oval"
131526,"ICC Womens T20 World Cup Africa Region Division One Qualifier 2025","2nd Match, Group B","2025-08-31 07:30:00","2025-08-31 11:00:00","Kenya Women","Rwanda Women","Rwanda Women",6,wickets,"High Performance Oval"
131515,"ICC Womens T20 World Cup Africa Region Division One Qualifier 2025","1st Match, Group A","2025-08-31 07:30:00","2025-08-31 11:00:00","Nigeria Women","Sierra Leone Women","Nigeria Women",96,runs,"Namibia Cricket Ground"
131229,"ICC Womens T20 World Cup Europe Qualifier Division 1, 2025","11th Match","2025-08-27 09:00:00","2025-08-27 12:30:00","Netherlands Women","Germany Women","Netherlands Women",65,runs,Hazelaarweg
131235,"ICC Womens T20 World Cup Europe Qualifier Division 1, 2025","12th Match","2025-08-27 13:45:00","2025-08-27 17:15:00","Ireland Women","Italy Women","Ireland Women",33,runs,Hazelaarweg
131218,"ICC Womens T20 World Cup Europe Qualifier Division 1, 2025","9th Match","2025-08-26 09:00:00","2025-08-26 12:30:00","Germany Women","Italy Women","Italy Women",8,wickets,Hazelaarweg
131224,"ICC Womens T20 World Cup Europe Qualifier Division 1, 2025","10th Match","2025-08-26 13:45:00","2025-08-26 17:15:00","Netherlands Women","Ireland Women","Ireland Women",7,wickets,Hazelaarweg
